year,coal,oil,gas
1751,6.541035E-4,0.0,0.0
1752,6.543599E-4,0.0,0.0
1753,6.543599E-4,0.0,0.0
1754,6.5461616E-4,0.0,0.0
1755,6.5487245E-4,0.0,0.0
1756,6.9998304E-4,0.0,0.0
1757,7.002394E-4,0.0,0.0
1758,7.004957E-4,0.0,0.0
1759,7.0075196E-4,0.0,0.0
1760,7.0075196E-4,0.0,0.0
1761,7.676489E-4,0.0,0.0
1762,7.6790527E-4,0.0,0.0
1763,7.6816155E-4,0.0,0.0
1764,7.684179E-4,0.0,0.0
1765,7.686742E-4,0.0,0.0
1766,8.576138E-4,0.0,0.0
1767,8.578701E-4,0.0,0.0
1768,8.5812644E-4,0.0,0.0
1769,8.5838273E-4,0.0,0.0
1770,8.586391E-4,0.0,0.0
1771,9.5219223E-4,0.0,0.0
1772,9.524486E-4,0.0,0.0
1773,9.5270487E-4,0.0,0.0
1774,9.529612E-4,0.0,0.0
1775,9.532175E-4,0.0,0.0
1776,0.001051897,0.0,0.0
1777,0.0010521532,0.0,0.0
1778,0.0010524095,0.0,0.0
1779,0.0010526659,0.0,0.0
1780,0.0010531785,0.0,0.0
1781,0.0011782579,0.0,0.0
1782,0.0011785141,0.0,0.0
1783,0.0011790268,0.0,0.0
1784,0.001179283,0.0,0.0
1785,0.001180052,0.0,0.0
1786,0.0013397333,0.0,0.0
1787,0.0013402458,0.0,0.0
1788,0.0013405022,0.0,0.0
1789,0.0013410148,0.0,0.0
1790,0.0013415274,0.0,0.0
1791,0.0014983892,0.0,0.0
1792,0.0015317096,0.0,0.0
1793,0.0015329911,0.0,0.0
1794,0.0015306843,0.0,0.0
1795,0.0015314532,0.0,0.0
1796,0.0016055269,0.0,0.0
1797,0.0016854956,0.0,0.0
1798,0.0017554683,0.0,0.0
1799,0.0018487652,0.0,0.0
1800,0.00196513,0.0,0.0
1801,0.001955903,0.0,0.0
1802,0.0025730978,0.0,0.0
1803,0.0022027295,0.0,0.0
1804,0.0024000884,0.0,0.0
1805,0.002337805,0.0,0.0
1806,0.0024516068,0.0,0.0
1807,0.0025795056,0.0,0.0
1808,0.0024528883,0.0,0.0
1809,0.0024546825,0.0,0.0
1810,0.0026148763,0.0,0.0
1811,0.0027689186,0.0,0.0
1812,0.0028686232,0.0,0.0
1813,0.0028834892,0.0,0.0
1814,0.0029470543,0.0,0.0
1815,0.0030421454,0.0,0.0
1816,0.003334339,0.0,0.0
1817,0.0034578803,0.0,0.0
1818,0.0034727463,0.0,0.0
1819,0.00349402,0.0,0.0
1820,0.0035457949,0.0,0.0
1821,0.003598082,0.0,0.0
1822,0.0037400778,0.0,0.0
1823,0.003955891,0.0,0.0
1824,0.0040940423,0.0,0.0
1825,0.0042501353,0.0,0.0
1826,0.0042965272,0.0,0.0
1827,0.00461102,0.0,0.0
1828,0.004661513,0.0,0.0
1829,0.0046445965,0.0,0.0
1830,0.0062344884,0.0,0.0
1831,0.0059130755,0.0,0.0
1832,0.005953829,0.0,0.0
1833,0.0060725003,0.0,0.0
1834,0.0061898907,0.0,0.0
1835,0.0063270163,0.0,0.0
1836,0.0073294453,0.0,0.0
1837,0.0073235505,0.0,0.0
1838,0.0075580743,0.0,0.0
1839,0.00780772,0.0,0.0
1840,0.008319572,0.0,0.0
1841,0.008577676,0.0,0.0
1842,0.009059283,0.0,0.0
1843,0.009293551,0.0,0.0
1844,0.00989306,0.0,0.0
1845,0.010857555,0.0,0.0
1846,0.011038253,0.0,0.0
1847,0.012060163,0.0,0.0
1848,0.012159098,0.0,0.0
1849,0.0128372945,0.0,0.0
1850,0.013773596,0.0,0.0
1851,0.013902776,0.0,0.0
1852,0.014515101,0.0,0.0
1853,0.01518689,0.0,0.0
1854,0.01783893,0.0,0.0
1855,0.018187769,2.5631016E-6,0.0
1856,0.019381918,2.8194117E-6,0.0
1857,0.019561078,3.5883422E-6,0.0
1858,0.019860193,4.3572727E-6,0.0
1859,0.021052804,3.8446524E-6,0.0
1860,0.023115845,1.8454331E-5,0.0
1861,0.024263859,6.510278E-5,0.0
